claim_id,domain,short_name,formal_statement,source_audits,canonical_version,evidence_class,mathematical_status,novelty_status,closest_prior_literature,literature_review_status,proof_location,source_url,computational_support,assumptions_scope,allowed_claim,forbidden_overclaim,physical_status,target_manuscript,editorial_action,priority,repository_status,next_action
MF-R059,Kernel-sufficient score,Q_lambda exactly preserves the exponential kernel under grouping,"If block mass mu_B and Q_B are passed, then mu_B exp(-lambda Q_B)=sum_{i in B} mu_i exp(-lambda q_i), so block probabilities equal direct microscopic aggregation.",A38.1,A38.1 canonical,EXACT_SUFFICIENT-STATISTIC IDENTITY,PROVED,ELEMENTARY BUT CENTRAL PROJECT-SPECIFIC CONSEQUENCE,Sufficient statistics and log-sum-exp aggregation,NOVELTY CLAIM SHOULD BE MODEST,audits/a38_1_exact_results/a38_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a38_1_exact_results/a38_theorem.md,Maximum macro-probability TV about 2.19e-16.,Fixed exponential kernel and supplied mass.,Q_lambda is the exact static message for this declared observable.,The unique coarse variable for every law or a physical thermodynamic potential.,STATIC OPERATIONAL COARSE-GRAINING,FOUNDATIONAL,KEEP AS CORE POSITIVE RESULT,P0,IN_REPOSITORY,
MF-R060,Median non-closure,Mass plus weighted median is not a closed hierarchical message,There exist two groups whose group masses and lower weighted medians yield hierarchical median 0 while the direct leaf median is 1.,A38.1,A38.1 canonical corrective gate,EXACT_COUNTEREXAMPLE,PROVED,ELEMENTARY PROJECT-SPECIFIC COUNTEREXAMPLE,Non-decomposability of quantiles,NOVELTY CLAIM NOT NEEDED,audits/a38_1_exact_results/a38_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a38_1_exact_results/a38_theorem.md,Exact counterexample difference 1; random associativity pass rate 0.3822.,Lower weighted median summarized only by mass and median.,Median is robust but that scalar summary is not hierarchically closed.,No hierarchical quantile sketch or richer summary can exist.,MATHEMATICAL COARSE-GRAINING LIMIT,FOUNDATIONAL / SUPPLEMENT,KEEP AS SHORT COUNTEREXAMPLE,P2,IN_REPOSITORY,
MF-R061,Source occupancy obstruction,A micro kernel and partition do not determine a unique macro transition without source occupancy,"K_macro(A,B)=sum_{i in A} rho(i|A) sum_{j in B} K_ij depends explicitly on the conditional source distribution rho inside A.",A38.1,A38.1 canonical,CLASSICAL_MARKOV_AGGREGATION FACT + NUMERICAL WITNESS,PROVED,CLASSICAL KEMENY-SNELL/LUMPABILITY CONSEQUENCE,Markov-chain lumpability and coarse-graining,CLASSICAL ATTRIBUTION REQUIRED,audits/a38_1_exact_results/a38_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a38_1_exact_results/a38_theorem.md,Same micro kernel and partition with two occupancies gives median macro-row TV about 0.10122.,General non-lumpable finite Markov kernel.,Occupancy or a lumpability condition is necessary for a unique macro Markov kernel.,A new discovery of lumpability or proof that pi is a fundamental physical field.,DYNAMIC COARSE-GRAINING REQUIREMENT,FOUNDATIONAL,KEEP AS CLASSICAL PILLAR FOR pi,P0,IN_REPOSITORY,
MF-R062,Flow aggregation,Joint flows aggregate exactly when occupancy is supplied,"With F_ij=pi_i K_ij, define F_AB=sum_{i in A,j in B}F_ij and pi_A=sum_{i in A}pi_i; then K_macro(A,B)=F_AB/pi_A equals direct occupancy-weighted aggregation.",A38.1,A38.1 canonical,EXACT_IDENTITY,PROVED,CLASSICAL CONDITIONAL-FLOW CONSTRUCTION,Markov aggregation and probability flux,CLASSICAL ATTRIBUTION REQUIRED,audits/a38_1_exact_results/a38_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a38_1_exact_results/a38_theorem.md,Maximum aggregation error 8.88e-16.,pi_A>0 and a supplied micro occupancy distribution.,Carrying joint flow or occupancy restores exact dynamic aggregation.,"That the physical origin, dynamics, or uniqueness of pi is known.",DYNAMIC OPERATIONAL CONSTRUCTION,FOUNDATIONAL,KEEP AS CORE POSITIVE RESULT,P0,IN_REPOSITORY,
MF-R063,Observable-relative coarse-graining,There is no observable-independent unique scalar coarse-graining of q,"Arithmetic mean exactly preserves the first moment, Q_lambda preserves the exponential kernel, minimum preserves an extremum, and different summaries answer different preservation problems.","A34, A38.1",A38.1 canonical synthesis,FRAMEWORK_SYNTHESIS,SUPPORTED BY EXACT IDENTITIES AND COUNTEREXAMPLES,ORIGINAL SYNTHESIS; COMPONENTS MOSTLY CLASSICAL,"Sufficient statistics, coarse-graining, quasi-arithmetic means","NOVELTY CLAIM SHOULD TARGET THE SYNTHESIS, NOT COMPONENT THEOREMS",audits/a38_1_exact_results/a38_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a38_1_exact_results/a38_summary.json,Comparative exact and seeded operator audit.,Declared candidate observables and summary classes.,A coarse-graining rule must be specified relative to the observable or dynamics it is meant to preserve.,A universal proof that no richer common state representation exists.,FOUNDATIONAL FRAMEWORK PRINCIPLE,FOUNDATIONAL,KEEP AS CENTRAL ORGANIZING PRINCIPLE,P0,IN_REPOSITORY,
MF-R064,Legacy RZS geometry,"Effective round-trip shortest-path geometry is computational, not yet physical",D_eff is the symmetrized directed shortest-path cost built from ell_ij=exp(q_ij); its metric-like properties are properties of the computational construction.,RZS v10.8-v10.9,Legacy geometry track; not fully archived in current repository,DEFINITION + EXACT_TESTS,CONSTRUCTION VERIFIED,PROJECT-SPECIFIC CONSTRUCTION,Directed shortest-path metrics and symmetrization,DEDICATED PRIOR-ART SEARCH REQUIRED,NOT_IN_CURRENT_REPOSITORY,,Legacy tests reported 63-65 packages and 338-350 tests with no software failures.,Positive directed edge costs; selected symmetrization.,The construction defines an effective computational geometry up to global scale.,"Physical distance, spacetime interval, calibrated length, or uniqueness.",COMPUTATIONAL GEOMETRY ONLY,FUTURE_GEOMETRY / FOUNDATIONAL,ARCHIVE CODE BEFORE USING IN A NEW MANUSCRIPT,P0,REPRODUCIBILITY_GAP,"Add the v10.8-v10.9 scripts, summaries, and contracts to the public repository."
MF-R065,Regge eligibility,Local simplicial consistency did not establish robust Regge curvature,"Selected triangles, tetrahedra, Cayley-Menger determinants, and deficit calculations passed local eligibility checks, but temporal stability and null-separation gates failed across later coarse-graining stages.",RZS v11.0-v12.0,Legacy negative geometry track; not fully archived,COMPUTATIONAL_PROTOCOL,NEGATIVE / BLOCKED RESULT,PROJECT-SPECIFIC NEGATIVE RESULT,Regge calculus and discrete geometry diagnostics,METHODS AND PRIOR-ART REVIEW REQUIRED,NOT_IN_CURRENT_REPOSITORY,,"Reported phase maps, dense ensembles, alternative observables, and persistent regional frames.","Specific synthetic q dynamics, topologies, coarse-graining, and gates.",Robust Regge curvature and promotion to GR remain blocked.,"Emergent gravity, Einstein equations, physical curvature, or successful renormalization.",PHYSICAL CLAIM BLOCKED,FUTURE_GEOMETRY / REPOSITORY_ONLY,DO NOT INCLUDE AS POSITIVE THEORY CLAIM,P0,REPRODUCIBILITY_GAP,Archive all v11.x-v12.0 code and define the physical interpretation only after a successful prospective protocol.
MF-R066,q-topology coherence,Prospective q-topology coherence signature passed its declared v12.9 gates,"On new sizes, topologies, seeds, and data, the declared regional q-topology signature passed 10/10 gates, including joint selectivity in 19/24 cells.",RZS v12.9,Latest legacy geometry diagnostic; not in current public archive,PROSPECTIVE COMPUTATIONAL_TEST,COMPUTATIONALLY DEMONSTRATED FOR DECLARED PROTOCOL,PROJECT-SPECIFIC NUMERICAL RESULT,Graph-signal/topological coherence diagnostics,DEDICATED METHODS SEARCH REQUIRED,NOT_IN_CURRENT_REPOSITORY,,Reported 0/384 gauge mismatches and specified null pass counts.,"Exact v12.9 generators, masks, thresholds, and factor grid.",The specific q-topology coherence signature generalized prospectively within the tested ensemble.,"Physical topology, spacetime emergence, curvature, or experimental validation.",SYNTHETIC DIAGNOSTIC ONLY,FUTURE_GEOMETRY / SUPPLEMENT,ARCHIVE AND CLASSIFY BEFORE CITATION,P1,REPRODUCIBILITY_GAP,"Publish the v12.9 source, frozen protocol, and raw cell-level outputs."
MF-R067,Framework architecture,"Current minimal architecture is (R,q,mu,K,pi)","The accumulated obstructions motivate a provisional architecture containing relation/order R, relative quantitative marks q, additive measure mu, transition law K, and occupancy pi.",A18-A38.1 plus legacy RZS track,Current framework synthesis,FRAMEWORK_SYNTHESIS,CONCEPTUAL ARCHITECTURE; NOT A UNIQUENESS THEOREM,POTENTIALLY ORIGINAL SYNTHESIS,"Marked relational structures, measure, Markov kernels, and state distributions",BROAD LITERATURE REVIEW REQUIRED,docs/SCIENTIFIC_STATUS.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/docs/SCIENTIFIC_STATUS.md,Each component is motivated by a separate identifiability or closure obstruction.,"Minimal relative to the obstructions currently studied, not minimal over all possible theories.","The framework gives a disciplined provisional inventory of information needed for order, measure, transition, and coarse-grained flow.","A proven unique ontology, a final fundamental theory, or derivation of all primitives.",FOUNDATIONAL RESEARCH PROGRAMME,FOUNDATIONAL,MAKE THIS THE POSITIVE THESIS OF THE FOUNDATIONAL PAPER,P0,IN_REPOSITORY,"State explicit independence and reduction questions among q, mu, K, and pi."
MF-R068,No-go catalogue,The obstruction map is a framework-level contribution,"The project organizes failures of identifiability, scale calibration, law selection, refinement semantics, dynamic closure, noise universality, and macro aggregation into a dependency map.",A18-A38.1,Current framework synthesis,FRAMEWORK_SYNTHESIS,SUPPORTED BY MIXED CLASSICAL AND PROJECT-SPECIFIC RESULTS,ORIGINAL ORGANIZATION; INDIVIDUAL ITEMS HAVE UNEQUAL NOVELTY,"Pregeometry, causal-set reconstruction, measurement theory, stochastic coarse-graining",ITEM-BY-ITEM ATTRIBUTION REQUIRED,docs/SCIENTIFIC_STATUS.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/docs/SCIENTIFIC_STATUS.md,"Canonical audits, failures, corrections, and theorem notes.",Only the explicitly studied constructions and axioms.,The catalogue clarifies which additional structures are logically needed in the current programme.,Presenting every no-go as equally deep or technically novel.,FOUNDATIONAL SYNTHESIS,FOUNDATIONAL,"KEEP, BUT TYPOGRAPHICALLY SEPARATE DEFINITIONS, CLASSICAL COROLLARIES, AND NONTRIVIAL RESULTS",P0,IN_REPOSITORY,
MF-R069,Scientific boundary,"No physical spacetime, calibrated metric, gravity, or experimental mapping has been derived","The current results establish formal structures and conditional computational properties but do not identify q, mu, K, or pi with measured physical quantities.",Whole programme,Current repository status,SCIENTIFIC_STATUS / NONCLAIM,ESTABLISHED SCOPE BOUNDARY,NO NOVELTY CLAIM,Standards of operationalization and theory confirmation,NOT APPLICABLE,docs/SCIENTIFIC_STATUS.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/docs/SCIENTIFIC_STATUS.md,"Repository records successful, failed, and corrective protocols.",Current published artifacts only.,The work is a formal pre-categorical research programme with explicit open physical bridges.,"Confirmed fundamental physics, emergent GR, matter, energy, or experimental support.",PHYSICAL CONNECTION OPEN,FOUNDATIONAL,"KEEP AS A SHORT BOUNDARY SECTION, NOT A DEFENSIVE REFRAIN",P0,IN_REPOSITORY,
